Date,Close
1990/12/18,8.375
1990/12/19,8.75
1990/12/20,8.75
1990/12/21,8.5625
1990/12/24,8.6875
1990/12/26,9.0625
1990/12/27,9.375
1990/12/28,9.5625
1990/12/31,9.4375
1991/1/2,9.5
1991/1/3,9.0625
1991/1/4,8.8125
1991/1/7,8.6875
1991/1/8,8.8125
1991/1/9,8.625
1991/1/10,8.6875
1991/1/11,9.0625
1991/1/14,8.75
1991/1/15,8.75
1991/1/16,8.75
1991/1/17,9.25
1991/1/18,9.375
1991/1/21,9.25
1991/1/22,9.25
1991/1/23,9.5
1991/1/24,9.8125
1991/1/25,9.5625
1991/1/28,9.625
1991/1/29,9.8125
1991/1/30,10.3125
1991/1/31,10.125
1991/2/1,10.1875
1991/2/4,10.5
1991/2/5,10.3125
1991/2/6,9.9375
1991/2/7,9.375
1991/2/8,9.375
1991/2/11,9.6875
1991/2/12,9.5625
1991/2/13,9.8125
1991/2/14,9.8125
1991/2/15,9.9375
1991/2/19,10
1991/2/20,10
1991/2/21,10.0625
1991/2/22,10.25
1991/2/25,10.25
1991/2/26,10.1875
1991/2/27,10.375
1991/2/28,10.3125
1991/3/1,10.5625
1991/3/4,11.3125
1991/3/5,11.8125
1991/3/6,11.8125
1991/3/7,11.9375
1991/3/8,12.0625
1991/3/11,11.875
1991/3/12,11.4375
1991/3/13,11.4375
1991/3/14,11.25
1991/3/15,11.25
1991/3/18,11.125
1991/3/19,10.9375
1991/3/20,10.9375
1991/3/21,10.9375
1991/3/22,11.0625
1991/3/25,10.25
1991/3/26,10.375
1991/3/27,11.4375
1991/3/28,11.8125
1991/4/1,11.6875
1991/4/2,12.0625
1991/4/3,11.875
1991/4/4,11.6875
1991/4/5,11.5625
1991/4/8,11.625
1991/4/9,11.1875
1991/4/10,11.1875
1991/4/11,11.25
1991/4/12,11.4375
1991/4/15,11.5625
1991/4/16,11.375
1991/4/17,11.3125
1991/4/18,11.25
1991/4/19,11.3125
1991/4/22,10.875
1991/4/23,10.5
1991/4/24,10.75
1991/4/25,10.5625
1991/4/26,11
1991/4/29,10.8125
1991/4/30,10.625
1991/5/1,10.9375
1991/5/2,10.75
1991/5/3,10.9375
1991/5/6,11.3125
1991/5/7,11
1991/5/8,11.3125
1991/5/9,11.4375
1991/5/10,11.4375
1991/5/13,11.5625
1991/5/14,11.3125
1991/5/15,11.25
1991/5/16,11.4375
1991/5/17,11.4375
1991/5/20,11.875
1991/5/21,12.25
1991/5/22,12.3125
1991/5/23,12.1875
1991/5/24,12.375
1991/5/28,12.8125
1991/5/29,13
1991/5/30,13
1991/5/31,13.125
1991/6/3,13.5
1991/6/4,15.0625
1991/6/5,15.6875
1991/6/6,16.0625
1991/6/7,16.625
1991/6/10,16.625
1991/6/11,16.0625
1991/6/12,16.625
1991/6/13,16.5625
1991/6/14,16.75
1991/6/17,17.4375
1991/6/18,17
1991/6/19,17.0625
1991/6/20,17.125
1991/6/21,17.125
1991/6/24,16.9375
1991/6/25,16.75
1991/6/26,16.5625
1991/6/27,16.6875
1991/6/28,16.625
1991/7/1,16.875
1991/7/2,16.625
1991/7/3,16.75
1991/7/5,16.8125
1991/7/8,17.1875
1991/7/9,17.1875
1991/7/10,17.8125
1991/7/11,17.625
1991/7/12,18
1991/7/15,17.8125
1991/7/16,18.3125
1991/7/17,18.4375
1991/7/18,19.125
1991/7/19,19.4375
1991/7/22,19.125
1991/7/23,18.5
1991/7/24,18.1875
1991/7/25,19
1991/7/26,19.0625
1991/7/29,18.8125
1991/7/30,18.75
1991/7/31,19.0625
1991/8/1,18.875
1991/8/2,18.875
1991/8/5,18.625
1991/8/6,19
1991/8/7,19.125
1991/8/8,19.375
1991/8/9,19.375
1991/8/12,19
1991/8/13,18.3125
1991/8/14,18.5625
1991/8/15,18.3125
1991/8/16,17.875
1991/8/19,17.0625
1991/8/20,17.3125
1991/8/21,18.4375
1991/8/22,18.625
1991/8/23,18.9375
1991/8/26,19.0625
1991/8/27,18.9375
1991/8/28,19.375
1991/8/29,19.1875
1991/8/30,19.125
1991/9/3,19.25
1991/9/4,20.4375
1991/9/5,20.625
1991/9/6,21
1991/9/9,21.0625
1991/9/10,20.8125
1991/9/11,21
1991/9/12,21.1875
1991/9/13,20.8125
1991/9/16,21.0625
1991/9/17,21.125
1991/9/18,21.25
1991/9/19,21.5
1991/9/20,21.75
1991/9/23,21.375
1991/9/24,21.3125
1991/9/25,21.6875
1991/9/26,21.8125
1991/9/27,21.6875
1991/9/30,21.9375
1991/10/1,21.8125
1991/10/2,22.125
1991/10/3,21.75
1991/10/4,21.5625
1991/10/7,20.9375
1991/10/8,21.5625
1991/10/9,21.9375
1991/10/10,21.9375
1991/10/11,21.9375
1991/10/14,21.9375
1991/10/15,21.8125
1991/10/16,22.375
1991/10/17,22.3125
1991/10/18,22.1875
1991/10/21,22.4375
1991/10/22,22.875
1991/10/23,23.5
1991/10/24,23.25
1991/10/25,23.375
1991/10/28,24.4375
1991/10/29,24.5625
1991/10/30,24.8125
1991/10/31,25
1991/11/1,24.8125
1991/11/4,24.875
1991/11/5,25.875
1991/11/6,26.8125
1991/11/7,26.25
1991/11/8,26.25
1991/11/11,25.75
1991/11/12,25.25
1991/11/13,24.6875
1991/11/14,24.6875
1991/11/15,24.125
1991/11/18,24.1875
1991/11/19,23.5
1991/11/20,24.125
1991/11/21,24.4375
1991/11/22,24.875
1991/11/25,24.5
1991/11/26,24.375
1991/11/27,24.25
1991/11/29,23.9375
